#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	675	0.050	586
0.075	675	0.101	585
0.127	676	0.151	585
0.177	677	0.202	585
0.228	677	0.253	585
0.278	678	0.304	585
0.329	679	0.355	585
0.379	680	0.405	586
0.431	679	0.456	585
0.481	678	0.506	586
0.532	678	0.558	585
0.582	677	0.608	585
0.633	676	0.659	584
0.684	676	0.709	585
0.735	675	0.760	585
0.785	675	0.811	585
0.836	676	0.862	585
0.886	675	0.912	584
0.938	676	0.963	585
0.988	677	1.013	585
1.039	676	1.065	585
1.089	677	1.115	584
1.140	676	1.166	584
1.190	675	1.216	585
1.242	673	1.267	585
1.292	672	1.317	585
1.343	671	1.369	584
1.393	671	1.419	584
1.444	672	1.470	585
1.495	674	1.520	585
1.546	675	1.571	585
1.596	674	1.622	585
1.647	675	1.673	586
1.697	672	1.723	584
1.749	663	1.774	584
1.799	645	1.824	585
1.850	619	1.876	585
1.900	585	1.926	584
1.951	546	1.977	584
2.001	504	2.027	584
2.053	460	2.078	582
2.103	418	2.128	581
2.154	380	2.180	580
2.204	345	2.230	578
2.255	319	2.281	576
2.306	301	2.331	573
2.357	293	2.382	572
2.407	297	2.433	568
2.458	309	2.484	566
2.508	330	2.534	565
2.560	358	2.585	564
2.610	392	2.635	562
2.661	433	2.687	562
2.711	475	2.737	563
2.762	517	2.788	564
2.813	558	2.838	566
2.864	595	2.889	569
2.914	625	2.939	573
2.965	648	2.991	577
3.015	663	3.041	583
3.066	667	3.092	586
3.117	663	3.142	591
3.168	650	3.193	596
3.219	628	3.244	600
3.269	598	3.295	601
3.320	562	3.345	604
3.371	523	3.396	604
3.422	480	3.446	603
3.472	439	3.498	601
3.523	400	3.548	597
3.573	364	3.599	593
3.625	335	3.649	587
3.675	314	3.700	580
3.726	301	3.750	574
3.776	300	3.802	566
3.827	307	3.852	560
3.877	323	3.903	553
3.929	347	3.953	549
3.979	377	4.004	545
4.030	414	4.055	543
4.080	454	4.106	543
4.131	496	4.156	544
4.182	536	4.207	547
4.233	573	4.257	552
4.283	607	4.309	559
4.334	633	4.359	567
4.384	651	4.410	575
4.436	661	4.460	584
4.486	661	4.511	594
4.537	652	4.561	602
4.587	635	4.613	610
4.638	609	4.663	616
4.688	578	4.714	620
4.740	541	4.764	623
4.790	501	4.815	624
4.841	460	4.866	621
4.891	421	4.917	616
4.942	385	4.967	610
4.993	352	5.018	602
5.044	329	5.068	591
5.094	312	5.120	579
5.145	306	5.170	568
5.195	309	5.221	556
5.247	320	5.271	547
5.297	339	5.322	539
5.348	366	5.373	530
5.398	398	5.424	526
5.449	436	5.474	523
5.499	475	5.525	524
5.551	515	5.575	527
5.601	553	5.626	533
5.652	586	5.677	542
5.702	616	5.728	553
5.753	637	5.778	565
5.804	650	5.829	578
5.855	654	5.879	592
5.905	650	5.931	604
5.956	638	5.981	617
6.006	617	6.032	627
6.058	589	6.082	635
6.108	555	6.133	640
6.159	519	6.184	642
6.209	481	6.235	640
6.260	442	6.286	636
6.310	406	6.336	629
6.362	373	6.387	618
6.412	346	6.437	605
6.463	327	6.489	591
6.513	316	6.539	576
6.564	315	6.590	559
6.615	321	6.640	545
6.666	336	6.691	532
6.716	359	6.742	520
6.767	386	6.793	512
6.817	420	6.843	506
6.869	457	6.894	505
6.919	495	6.944	507
6.970	531	6.996	514
7.020	566	7.046	522
7.071	596	7.097	535
7.121	620	7.147	551
7.173	637	7.198	567
7.223	644	7.248	585
7.274	645	7.300	602
7.324	637	7.350	619
7.375	621	7.401	633
7.426	598	7.451	645
7.477	569	7.502	654
7.527	535	7.553	658
7.578	499	7.604	659
7.628	462	7.654	655
7.680	427	7.705	648
7.730	394	7.755	636
7.781	366	7.807	622
7.831	344	7.857	605
7.882	329	7.908	586
7.933	324	7.958	567
7.984	326	8.009	546
8.034	336	8.059	529
8.085	354	8.111	513
8.135	378	8.161	501
8.186	407	8.212	492
8.237	441	8.262	488
8.288	477	8.313	489
8.338	511	8.364	494
8.389	546	8.415	504
8.439	576	8.465	517
8.491	602	8.516	534
8.541	621	8.566	554
8.592	632	8.618	574
8.642	636	8.668	597
8.693	632	8.719	617
8.744	621	8.769	635
8.795	602	8.820	652
8.845	577	8.870	664
8.896	548	8.922	672
8.946	515	8.972	675
8.997	481	9.023	674
9.048	447	9.073	667
9.099	414	9.124	655
9.150	386	9.175	640
9.200	362	9.226	620
9.251	345	9.276	600
9.302	336	9.327	577
9.353	335	9.377	554
9.403	341	9.429	531
9.454	354	9.479	511
9.504	374	9.530	495
9.556	399	9.580	482
9.606	429	9.631	474
9.657	461	9.681	472
9.707	494	9.733	475
9.758	526	9.783	485
9.808	556	9.834	497
9.860	582	9.884	517
9.910	603	9.935	537
9.961	617	9.986	561
10.011	624	10.037	587
10.062	624	10.087	610
10.113	618	10.138	634
10.164	603	10.188	654
10.214	583	10.240	670
10.265	556	10.290	682
10.315	527	10.341	688
10.367	497	10.391	690
10.417	464	10.442	685
10.468	434	10.493	674
10.518	405	10.544	659
10.569	381	10.594	639
10.619	363	10.645	616
10.671	351	10.695	589
10.721	347	10.746	563
10.772	348	10.797	537
10.822	357	10.848	513
10.873	372	10.898	492
10.924	393	10.949	476
10.975	419	10.999	464
11.025	447	11.051	458
11.076	478	11.101	459
11.126	508	11.152	466
11.178	537	11.202	478
11.228	563	11.253	497
11.279	584	11.304	518
11.329	600	11.355	545
11.380	609	11.405	573
11.430	614	11.456	601
11.482	610	11.506	628
11.532	599	11.557	652
11.583	583	11.608	672
11.633	562	11.659	689
11.684	537	11.709	699
11.735	508	11.760	703
11.786	480	11.810	701
11.836	451	11.862	692
11.887	424	11.912	677
11.937	400	11.963	658
11.989	381	12.013	633
12.039	368	12.064	606
12.090	359	12.115	577
12.140	358	12.166	548
12.191	363	12.217	519
12.241	375	12.267	494
12.293	392	12.318	473
12.343	412	12.368	458
12.394	437	12.420	449
12.444	464	12.470	446
12.495	491	12.521	450
12.546	518	12.571	460
12.597	544	12.622	477
12.647	564	12.673	500
12.698	582	12.724	527
12.748	592	12.774	556
12.800	598	12.825	587
12.850	599	12.875	617
12.901	592	12.927	646
12.951	580	12.977	671
13.002	564	13.028	691
13.053	542	13.078	705
13.104	518	13.129	713
13.154	492	13.179	715
13.205	466	13.231	709
13.255	441	13.281	695
13.306	418	13.332	676
13.357	398	13.382	652
13.408	384	13.433	624
13.458	375	13.484	593
13.509	371	13.535	561
13.559	373	13.585	529
13.611	379	13.636	500
13.661	392	13.686	475
13.712	410	13.738	455
13.762	430	13.788	442
13.813	453	13.839	435
13.864	478	13.889	436
13.915	502	13.940	444
13.965	525	13.990	460
14.016	546	14.042	481
14.066	564	14.092	508
14.117	575	14.143	538
14.168	583	14.193	571
14.219	586	14.244	604
14.269	582	14.295	636
14.320	573	14.346	664
14.370	560	14.396	689
14.422	544	14.447	708
14.472	524	14.497	720
14.523	502	14.549	725
14.573	479	14.599	722
14.624	456	14.650	711
14.675	435	14.700	694
14.726	417	14.751	671
14.776	402	14.801	643
14.827	391	14.853	611
14.877	386	14.903	577
14.928	384	14.954	543
14.979	389	15.004	510
15.030	398	15.055	480
15.080	411	15.106	456
15.131	428	15.157	439
15.181	447	15.207	430
15.233	468	15.258	424
15.283	489	15.308	429
15.334	510	15.360	442
15.384	528	15.410	462
15.435	545	15.461	488
15.486	557	15.511	519
15.537	565	15.562	553
15.587	570	15.613	588
15.638	570	15.664	623
15.688	565	15.714	655
15.739	555	15.765	684
15.790	542	15.815	706
15.841	526	15.866	722
15.892	508	15.917	730
15.942	488	15.968	732
15.993	469	16.018	725
16.044	451	16.069	711
16.095	433	16.119	689
16.145	419	16.171	662
16.196	408	16.221	630
16.246	402	16.272	595
16.298	399	16.322	559
16.348	400	16.373	524
16.399	406	16.424	490
16.449	416	16.475	463
16.500	428	16.525	441
16.550	444	16.576	426
16.602	461	16.626	419
16.652	479	16.677	419
16.703	496	16.728	429
16.753	513	16.779	446
16.804	528	16.829	470
16.855	540	16.880	500
16.906	549	16.930	534
16.956	554	16.982	570
17.007	555	17.032	607
17.057	552	17.083	642
17.109	547	17.133	674
17.159	537	17.184	701
17.210	525	17.235	722
17.260	511	17.286	734
17.311	495	17.336	739
17.361	479	17.387	736
17.413	463	17.437	725
17.463	448	17.488	706
17.514	436	17.539	680
17.564	425	17.590	649
17.615	418	17.640	614
17.666	415	17.691	577
17.717	415	17.741	540
17.767	417	17.793	505
17.818	424	17.843	472
17.868	433	17.894	447
17.920	445	17.944	427
17.970	458	17.995	416
18.021	472	18.046	413
18.071	485	18.097	417
18.122	499	18.147	432
18.173	513	18.198	453
18.224	523	18.248	481
18.274	531	18.299	514
18.325	537	18.350	551
