#Creator: pendulumviewEventBuffer
#Creation time: Thu Mar  7 11:06:45 2019
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.024	667	0.050	582
0.076	666	0.101	582
0.126	666	0.151	582
0.177	665	0.203	583
0.227	665	0.253	583
0.278	666	0.304	583
0.329	666	0.354	583
0.380	667	0.405	583
0.430	667	0.456	583
0.481	666	0.507	583
0.531	667	0.557	582
0.582	666	0.608	583
0.633	667	0.658	583
0.684	667	0.709	583
0.734	667	0.760	582
0.785	667	0.811	582
0.835	666	0.861	581
0.887	666	0.912	581
0.937	664	0.962	581
0.988	665	1.014	581
1.038	666	1.064	581
1.089	666	1.115	582
1.140	667	1.165	582
1.191	668	1.216	582
1.241	669	1.267	582
1.292	669	1.318	583
1.342	669	1.368	583
1.394	660	1.419	582
1.444	643	1.469	583
1.495	617	1.520	583
1.545	585	1.571	583
1.596	547	1.622	582
1.646	506	1.672	582
1.698	465	1.723	581
1.749	424	1.773	580
1.799	386	1.825	578
1.850	354	1.875	576
1.900	328	1.926	574
1.952	311	1.976	572
2.002	305	2.027	568
2.053	308	2.078	567
2.103	320	2.129	564
2.154	340	2.179	563
2.205	367	2.230	561
2.256	400	2.280	560
2.306	439	2.331	559
2.357	480	2.382	560
2.407	521	2.433	561
2.458	560	2.483	564
2.509	595	2.534	566
2.560	625	2.584	570
2.610	647	2.636	575
2.661	661	2.686	579
2.711	665	2.737	584
2.763	661	2.787	589
2.813	648	2.838	593
2.864	626	2.889	597
2.914	597	2.940	599
2.965	564	2.990	601
3.016	524	3.041	602
3.067	484	3.091	601
3.117	444	3.142	598
3.168	406	3.193	596
3.218	372	3.244	590
3.269	344	3.294	585
3.320	323	3.345	578
3.371	312	3.395	571
3.421	311	3.447	564
3.472	318	3.497	558
3.522	333	3.548	552
3.574	356	3.598	547
3.624	385	3.649	543
3.675	421	3.700	541
3.725	460	3.751	540
3.776	498	3.801	542
3.827	539	3.852	545
3.878	575	3.902	550
3.928	607	3.954	557
3.979	632	4.004	564
4.029	650	4.055	572
4.080	659	4.105	581
4.131	658	4.156	590
4.182	650	4.206	599
4.232	634	4.258	607
4.283	608	4.308	613
4.333	578	4.359	617
4.385	542	4.409	620
4.435	504	4.460	620
4.486	464	4.511	617
4.536	426	4.562	613
4.587	391	4.612	607
4.638	361	4.663	598
4.689	337	4.713	588
4.739	322	4.765	578
4.790	316	4.815	566
4.840	319	4.866	556
4.891	330	4.916	546
4.942	350	4.967	537
4.993	374	5.017	530
5.043	406	5.069	525
5.094	442	5.119	522
5.144	481	5.170	523
5.196	518	5.220	526
5.246	556	5.271	532
5.297	588	5.322	540
5.347	615	5.373	550
5.398	636	5.423	563
5.449	649	5.474	575
5.500	652	5.525	589
5.550	648	5.576	601
5.601	636	5.627	613
5.651	615	5.677	623
5.702	589	5.728	631
5.753	557	5.778	636
5.804	521	5.829	638
5.854	485	5.880	636
5.905	447	5.931	632
5.955	411	5.981	625
6.007	380	6.032	615
6.057	355	6.082	602
6.108	336	6.134	588
6.158	326	6.184	573
6.209	325	6.235	557
6.260	331	6.285	544
6.311	345	6.336	531
6.361	367	6.387	519
6.412	394	6.438	511
6.462	427	6.488	506
6.514	463	6.539	505
6.564	499	6.589	507
6.615	534	6.640	513
6.665	568	6.691	522
6.716	597	6.742	534
6.766	620	6.792	549
6.818	636	6.843	566
6.868	643	6.893	583
6.919	643	6.945	599
6.969	636	6.995	615
7.020	620	7.046	629
7.071	597	7.096	641
7.122	569	7.147	649
7.172	537	7.198	654
7.223	501	7.249	654
7.273	466	7.299	651
7.325	432	7.350	643
7.375	401	7.400	633
7.426	373	7.451	618
7.476	352	7.502	601
7.527	339	7.553	583
